N,random_ms,ascending_ms,descending_ms
1,0,0,0
2,0,0,0
4,0,0,0
8,0,0,0
16,0,0,0
32,0,0,0
64,0,0,0
128,0,0,0
256,0,0,0
512,0,0,1.006
1024,2.117,0,4.034
