N,random_ms,ascending_ms,descending_ms
1024,2.026,0,4.206
2048,8.736,0,17.283
4096,32.826,0,67.485
8192,134.292,0,273.806
16384,539.358,0,1078.78
32768,2224.07,0,4375.12
65536,8602.16,1,17485.8
